text,label
RBI announces new digital lending guidelines effective from April. The framework mandates prior approval for fintech companies offering credit products through apps. BNPL services and payment platforms must comply with stricter disclosure norms to protect consumer interests.,EXPLANATORY
SEBI introduces new margin rules for derivatives trading. Investors will now need to maintain higher upfront margins for options positions. The regulation aims to reduce speculative activity and protect retail traders from excessive leverage risks.,EXPLANATORY
How the T+1 settlement cycle changes stock trading in India. Trades will now settle in one business day instead of two. Brokers must ensure funds are available before market close to avoid penalties and failed settlements.,EXPLANATORY
Fed announces new stress testing requirements for regional banks. Institutions with assets above 100 billion dollars must undergo annual capital adequacy reviews. The move strengthens oversight following recent banking sector turbulence and deposit concerns.,EXPLANATORY
ECB introduces digital euro pilot framework for retail payments. The initiative will test central bank digital currency in select eurozone countries. Privacy safeguards and offline payment capabilities form core features of the proposed system.,EXPLANATORY
New SEBI rules for mutual fund expense ratios take effect today. Asset management companies must cap total expense charges for equity schemes at 2.25 percent. Smaller funds get higher limits while larger schemes face stricter caps.,EXPLANATORY
RBI circular on loan restructuring norms for MSMEs explained. Small businesses can now request one-time restructuring without NPA classification. Lenders must assess viability within 30 days and offer modified repayment schedules to eligible borrowers.,EXPLANATORY
How India's new TCS rules affect stock investors remitting abroad. Remittances above 7 lakh rupees for overseas investments attract 20 percent TCS. Investors can claim credit while filing annual income tax returns next year.,EXPLANATORY
IRDAI announces new guidelines for health insurance portability. Policyholders can now switch insurers without losing accumulated benefits or waiting period credits. The framework simplifies transfer process and mandates 15-day processing timeline for insurers.,EXPLANATORY
Understanding the new RBI framework for digital payment security. Banks must implement multi-factor authentication for all transactions above 50000 rupees. Real-time fraud monitoring and customer alert systems become mandatory requirements from next quarter.,EXPLANATORY
SEBI revises insider trading regulations with stricter disclosure norms. Company insiders must report trades within two business days instead of five. Connected persons definition expanded to include consultants and advisors with material information access.,EXPLANATORY
New FEMA rules for overseas direct investment by Indian companies. Outbound investments now require prior approval above certain thresholds from RBI. The framework balances capital account liberalization with prudent foreign exchange management practices.,EXPLANATORY
RBI guidelines on green deposits and sustainable finance products explained. Banks offering green deposit schemes must disclose allocation of funds to environmental projects. Third-party verification and annual impact reporting become mandatory requirements.,EXPLANATORY
How the new GST e-invoicing threshold affects small businesses. Companies with turnover above 5 crore rupees must generate electronic invoices for B2B transactions. The system automates tax reporting and reduces compliance burden for suppliers.,EXPLANATORY
SEBI framework for REITs and InvITs distribution policy changes. Infrastructure investment trusts must distribute 90 percent of net cash flows to unitholders quarterly. New valuation norms and disclosure requirements aim to improve investor transparency.,EXPLANATORY
Understanding cryptocurrency taxation rules in India for investors. Virtual digital assets attract 30 percent tax on gains without any deduction for expenses. One percent TDS applies on transfers above 50000 rupees for specified persons.,EXPLANATORY
New RBI norms for credit card billing and interest calculation methods. Banks must provide clear breakup of charges and interest components in statements. Minimum amount due calculation methodology standardized across all card issuers for transparency.,EXPLANATORY
SEBI introduces product suitability framework for investment advisors. Advisors must assess client risk profile before recommending any investment products. Documentation of suitability rationale becomes mandatory for all recommendations made to retail investors.,EXPLANATORY
How new PMLA rules impact cryptocurrency exchanges operating in India. Virtual asset service providers must implement KYC norms equivalent to banks immediately. Transaction monitoring and suspicious activity reporting now mandatory under AML compliance framework.,EXPLANATORY
RBI framework for account aggregator ecosystem and financial data sharing. Customers can share financial data across institutions using consent-based digital architecture. The system enables paperless loan processing and comprehensive credit assessment for lenders.,EXPLANATORY
New stock exchange rules for algorithmic trading registration requirements. Brokers offering algo strategies must obtain exchange approval for each algorithm deployed. Risk management checks and kill switch mechanisms become mandatory for all algo orders.,EXPLANATORY
SEBI guidelines on ESG rating providers and sustainability disclosure standards. Rating agencies must publish methodology and conflict of interest policies publicly. Minimum data sources and verification procedures specified for all sustainability assessments.,EXPLANATORY
Understanding the PLI scheme for electronics manufacturing in India. Companies investing in mobile and component production eligible for production incentives. The policy offers 4 to 6 percent subsidy on incremental sales over baseline year.,EXPLANATORY
RBI circular on priority sector lending norms for small finance banks. Agriculture and MSME lending targets revised upward to 75 percent of total advances. Shortfall penalties and RIDF contribution requirements explained for non-compliant banks.,EXPLANATORY
New IPO allotment rules for retail investors explained by SEBI. One lot guaranteed per retail applicant when oversubscription exceeds certain threshold levels. The change improves participation fairness in heavily subscribed public offerings for small investors.,EXPLANATORY
How carbon credit trading mechanism works under India's new framework. Companies exceeding emission targets can purchase credits from cleaner industrial producers. The framework incentivizes industrial decarbonization through transparent market-based pricing mechanisms.,EXPLANATORY
SEBI norms for passive funds and index replication methodology standards. ETFs must maintain tracking error below 2 percent for all equity schemes listed. Daily portfolio disclosure and creation unit specifications standardized across all providers.,EXPLANATORY
RBI guidelines on prepaid payment instruments and wallet interoperability. Mobile wallets must enable transfers to bank accounts and other wallet providers. Full KYC wallets get higher transaction and balance limits under new regulatory norms.,EXPLANATORY
Understanding gold monetization scheme and sovereign gold bond features. Investors can deposit physical gold to earn interest and avoid storage costs. SGBs offer 2.5 percent annual return plus gold price appreciation on maturity.,EXPLANATORY
New IBBI regulations for insolvency resolution process timeline requirements. Corporate debtors must complete resolution within 330 days including litigation time period. Stricter penalties for delays by resolution professionals and committee of creditors.,EXPLANATORY
SEBI framework for social stock exchange and nonprofit fundraising mechanism. Eligible organizations can raise funds through zero coupon zero principal instruments. Impact reporting and fund utilization disclosure requirements specified for all issuers.,EXPLANATORY
How RBI's LIBOR transition affects Indian borrowers with foreign currency loans. Companies must shift to alternative reference rates like SOFR by specified deadline. Legacy contracts require fallback provisions and spread adjustments for smooth transition.,EXPLANATORY
New income tax rules for capital gains on debt mutual fund investments. Investments held less than three years taxed at slab rate without indexation benefit. Long-term holding no longer provides tax advantage for fixed income investors.,EXPLANATORY
SEBI guidelines on offer for sale mechanism and price discovery process. Promoters selling shares must set floor price at minimum discount to market price. Retail investors get reserved allocation in all OFS transactions on exchanges.,EXPLANATORY
Understanding the direct tax vivad se vishwas scheme for pending disputes. Taxpayers can settle cases by paying disputed tax amount without interest or penalty. The window provides opportunity to reduce litigation backlog for both parties.,EXPLANATORY
RBI norms on wilful defaulter identification and consequences for borrowers. Borrowers deliberately not repaying despite adequate resources face credit restrictions permanently. Directors barred from new credit facilities and company formation for five years.,EXPLANATORY
New SEBI rules for buyback of shares through tender offer process. Companies must complete buybacks within 66 working days of board approval date. Reserved category for small shareholders ensures fair participation opportunity in buybacks.,EXPLANATORY
How the production linked incentive scheme works for pharmaceutical companies. Domestic manufacturers of complex generics and APIs eligible for sales-based subsidies. The policy targets import substitution and export competitiveness improvement for Indian pharma.,EXPLANATORY
IRDAI guidelines on claim settlement timeline and grievance redressal mechanism. Insurers must settle or reject claims within 30 days of complete documentation receipt. Policyholders can escalate to ombudsman if response is unsatisfactory or delayed.,EXPLANATORY
Understanding RBI's framework for retail CBDC and digital rupee pilot. The e-rupee works like cash with anonymity for small value transactions. Banks distribute digital currency through mobile apps with QR code payment capability.,EXPLANATORY
SEBI norms for debenture trustees and bondholder investor protection measures. Trustees must monitor issuer financial health and covenant compliance on continuous basis. Early warning mechanisms and communication protocols standardized for bondholder protection.,EXPLANATORY
New customs rules for electronics imports and manufacturing incentive schemes. Companies with domestic value addition above 35 percent get preferential duty concessions. The framework encourages local sourcing and expands assembly operations in India.,EXPLANATORY
RBI circular on bank locker agreement standardization and liability provisions. Banks cannot limit liability for locker theft or fire damage to token amounts. Annual rental revision capped and compensation framework clearly specified for customers.,EXPLANATORY
How the angel tax provisions work for startup investments in India. Companies receiving share premium above fair market value face tax on excess amount. DPIIT recognized startups get exemption subject to net worth and turnover limits.,EXPLANATORY
SEBI framework for real estate investment trusts and leverage ratio limits. REITs can borrow up to 49 percent of asset value for property acquisitions. Interest coverage ratio and debt maturity profile requirements ensure financial prudence.,EXPLANATORY
Understanding the RBI moratorium framework for stressed banks under resolution. Deposit withdrawals capped during resolution period to prevent bank runs and panic. Deposit insurance covers up to 5 lakh rupees per depositor per bank.,EXPLANATORY
New PFRDA rules for NPS partial withdrawal and exit norm changes. Subscribers can withdraw up to 25 percent for specified purposes up to thrice. Minimum pension requirement relaxed for accounts below threshold corpus amount at retirement.,EXPLANATORY
SEBI guidelines on research analyst registration and conflict of interest disclosure. Analysts must reveal personal holdings in stocks they cover in all reports. Quiet periods around company transactions and rating changes specified clearly.,EXPLANATORY
How the equalization levy applies to digital advertising and ecommerce transactions. Foreign companies earning from Indian users pay 2 percent tax on gross revenues. The measure targets digital multinationals operating without any physical presence in India.,EXPLANATORY
RBI norms for microfinance lending and borrower protection measures framework. All regulated entities must follow uniform pricing and ethical collection practices strictly. Household income assessment mandatory before sanctioning loans to prevent borrower overindebtedness.,EXPLANATORY
SEBI framework for investor charter and service quality standards for brokers. Stock brokers must resolve investor complaints within 21 days of receipt date. Escalation matrix and compensation for service failures defined clearly for investors.,EXPLANATORY
Understanding the PM Gati Shakti scheme for infrastructure planning coordination. The national master plan coordinates projects across 16 ministries through digital platform. Multi-modal connectivity and last mile access prioritized for economic zones development.,EXPLANATORY
New RBI rules for peer to peer lending platforms and exposure limits. Borrowers and lenders cannot exceed 50 lakh rupees aggregate exposure on platforms. Platform due diligence and risk disclosure requirements strengthened significantly.,EXPLANATORY
How the semiconductor incentive scheme attracts chip manufacturing investments to India. Companies setting up fabs in India eligible for 50 percent project cost support. Design linked incentives target fabless companies and IP development activities.,EXPLANATORY
SEBI norms for listed company board composition and director independence requirements. Independent directors must comprise one-third of board for all listed entities. Cooling off periods and material relationship definitions specified clearly.,EXPLANATORY
RBI guidelines on digital lending and first loss default guarantee arrangements. LSPs providing FLDG must limit guarantee to 5 percent of portfolio value. The cap prevents excessive risk taking and maintains skin in game.,EXPLANATORY
Understanding GIFT City regulations for offshore financial services operations. IFSC units get tax holidays and regulatory flexibility for global business operations. The framework positions Gujarat as international financial services hub for India.,EXPLANATORY
New TRAI rules for commercial communications and telemarketing spam control. Businesses must use registered headers and templates for all promotional messages sent. Blockchain based DLT system tracks consent and enables preference management.,EXPLANATORY
SEBI framework for market infrastructure institutions and governance requirements. Stock exchanges and depositories face enhanced capital adequacy and technology requirements. Technology audit and business continuity norms specified for systemic importance.,EXPLANATORY
How the vehicle scrappage policy works and incentives available for owners. Cars older than 15 years and commercial vehicles above 10 years eligible for scrapping. Registration fee waiver and manufacturer discounts available for replacing old vehicles.,EXPLANATORY
RBI norms for currency chest operations and cash management procedures. Banks must maintain minimum denomination-wise stock at all currency chests regularly. ATM cassette loading and fake note detection protocols strengthened significantly.,EXPLANATORY
