text,label
"nft project rugpull leaves investors with losses digital collectible scam exposed.",DIGITAL_ASSETS
"nft marketplace introduces creator royalty protection artist earnings secured.",DIGITAL_ASSETS
"nft integration with gaming platforms blockchain gaming expands.",DIGITAL_ASSETS
"nft auction sets record at sothebys digital art reaches mainstream.",DIGITAL_ASSETS
"nft metadata storage concerns raised permanence of digital ownership questioned.",DIGITAL_ASSETS
"nft bridge enables cross-chain transfers interoperability for collectibles.",DIGITAL_ASSETS
"nft staking rewards launched holders earn passive income.",DIGITAL_ASSETS
"nft community airdrops surprise holders free tokens distributed.",DIGITAL_ASSETS
"nft phishing scams increase security awareness urged.",DIGITAL_ASSETS
"nft smart contract audit reveals vulnerabilities security assessment completed.",DIGITAL_ASSETS
"rbi launches account aggregator framework data sharing protocol established.",FINANCE_POLICY
"rbi allows small finance banks to open anywhere branch expansion permitted.",FINANCE_POLICY
"rbi updates kyc norms for digital payments identity verification streamlined.",FINANCE_POLICY
"rbi circular on loan recovery practices fair debt collection mandated.",FINANCE_POLICY
"rbi governor attends bis meeting global central banker coordination.",FINANCE_POLICY
"rbi data shows credit growth at 15 percent lending activity strong.",FINANCE_POLICY
"rbi allows video kyc for account opening remote verification enabled.",FINANCE_POLICY
"rbi reviews payment system vision 2025 digital payments roadmap updated.",FINANCE_POLICY
"rbi enables geotagging of payment acceptance infrastructure merchant mapping initiated.",FINANCE_POLICY
"rbi warns against cryptocurrency risks central bank reiterates concerns.",FINANCE_POLICY
"federal reserve quantitative easing ends asset purchases conclude.",FINANCE_POLICY
"federal reserve reverse repo facility usage hits record money market dynamics.",FINANCE_POLICY
"federal reserve discount window borrowing spikes banks access emergency funding.",FINANCE_POLICY
"federal reserve updates bank capital requirements regulatory standards raised.",FINANCE_POLICY
"federal reserve climate risk guidance for banks environmental factors considered.",FINANCE_POLICY
"federal reserve payment system modernization fednow instant payments launch.",FINANCE_POLICY
"federal reserve community bank supervision updated smaller lender oversight.",FINANCE_POLICY
"federal reserve financial literacy initiatives consumer education programs.",FINANCE_POLICY
"federal reserve diversity report on banking workforce inclusion metrics.",FINANCE_POLICY
"federal reserve research on cbdc central bank digital currency study.",FINANCE_POLICY
"ecb bond buying program taper quantitative easing reduction.",FINANCE_POLICY
"ecb inflation forecast raised price outlook worsens.",FINANCE_POLICY
"ecb banking supervision stress tests european bank resilience assessed.",FINANCE_POLICY
"ecb climate stress test for banks environmental risk evaluation.",FINANCE_POLICY
"ecb payment strategy modernizes european instant payments push.",FINANCE_POLICY
"ecb cross-border payment improvements international transfers facilitated.",FINANCE_POLICY
"ecb balance sheet reduction continues quantitative tightening proceeds.",FINANCE_POLICY
"ecb macroprudential measures tightened systemic risk controls enhanced.",FINANCE_POLICY
"ecb bank lending survey shows tighter credit loan standards rise.",FINANCE_POLICY
"ecb consumer inflation expectations survey household price outlook.",FINANCE_POLICY
"fomc recap shows hawkish tilt meeting summary analysis.",MACRO_ECONOMIC
"fomc december meeting preview year-end rate decision anticipated.",MACRO_ECONOMIC
"fomc march meeting expectations q1 policy outlook assessed.",MACRO_ECONOMIC
"fomc dissent grows on rate policy committee disagreements increase.",MACRO_ECONOMIC
"fomc members speak at separate events varied policy views shared.",MACRO_ECONOMIC
"fomc balance sheet runoff pace reviewed qt speed evaluated.",MACRO_ECONOMIC
"fomc terminal rate debate peak rate level discussed.",MACRO_ECONOMIC
"fomc neutral rate estimate revised equilibrium rate assessment updated.",MACRO_ECONOMIC
"fomc real-time economic indicators monitoring data dependency emphasized.",MACRO_ECONOMIC
"fomc international spillover concerns global impact considered.",MACRO_ECONOMIC
"bitcoin breaks 80000 support level technical analysis bearish.",DIGITAL_ASSETS
"bitcoin fear and greed index shows extreme fear sentiment indicator drops.",DIGITAL_ASSETS
"bitcoin correlation with stocks increases risk asset behavior.",DIGITAL_ASSETS
"bitcoin options max pain level approaches expiry dynamics.",DIGITAL_ASSETS
"bitcoin perpetual funding rate turns negative bears dominate.",DIGITAL_ASSETS
"bitcoin on-chain metrics show accumulation holder behavior positive.",DIGITAL_ASSETS
"bitcoin retail investor interest wanes google trends decline.",DIGITAL_ASSETS
"bitcoin institutional grade custody solutions expand infrastructure grows.",DIGITAL_ASSETS
"bitcoin regulatory clarity improves in europe mica framework implemented.",DIGITAL_ASSETS
"bitcoin self-custody adoption increases not your keys movement.",DIGITAL_ASSETS
"ethereum beacon chain upgrade scheduled protocol improvement planned.",DIGITAL_ASSETS
"ethereum staking yield compresses returns moderate as participation grows.",DIGITAL_ASSETS
"ethereum base layer 2 from coinbase gains traction new chain activity.",DIGITAL_ASSETS
"ethereum eip proposal debate governance discussion continues.",DIGITAL_ASSETS
"ethereum client diversity improves network resilience enhanced.",DIGITAL_ASSETS
"crypto market recovers from lows buyers return after selloff.",DIGITAL_ASSETS
"crypto lending platform nexo expands services more offerings available.",DIGITAL_ASSETS
"crypto tax reporting requirements tighten regulatory compliance needed.",DIGITAL_ASSETS
"crypto etfs see weekly outflows investor sentiment shifts.",DIGITAL_ASSETS
"crypto adoption in emerging markets accelerates developing world interest.",DIGITAL_ASSETS
"sebi chairman speech at ficci market development priorities.",FINANCE_POLICY
"sebi board meeting approves new regulations policy updates passed.",FINANCE_POLICY
"sebi consultation paper on market reforms feedback sought.",FINANCE_POLICY
"sebi order bans promoter for insider trading enforcement action.",FINANCE_POLICY
"sebi review of credit rating agencies oversight strengthened.",FINANCE_POLICY
"sec lawsuit against ripple continues xrp case developments.",FINANCE_POLICY
"sec registration requirements for crypto clarity on securities.",FINANCE_POLICY
"sec custody rule for investment advisers asset protection mandated.",FINANCE_POLICY
"sec market structure proposals equity trading changes suggested.",FINANCE_POLICY
"sec enforcement priorities fiscal year agenda outlined.",FINANCE_POLICY
"indian markets close at record high indices reach new peaks.",MARKET_MOVEMENT
"indian markets fall 3 percent broad selloff across sectors.",MARKET_MOVEMENT
"nifty 50 rebalancing announced index constituents changed.",MARKET_MOVEMENT
