text,label
"bitcoin drops below 87000 as bears target 84000 bitcoin closed the week at 86588 after losing 87000 support, with bears eyeing a decisive break below 84000 that could accelerate declines toward 68000-72000.",DIGITAL_ASSETS
"xrp price liftoff to 10 will take time xrp is holding the 1.80-2 support, with multiple indicators suggesting an extended sideways price action before a liftoff toward double figures.",DIGITAL_ASSETS
"crypto exchange binance faces regulatory scrutiny the worlds largest cryptocurrency exchange by trading volume is under investigation by multiple regulators for potential violations of securities laws.",DIGITAL_ASSETS
"solana network congestion causes transaction delays blockchain issues affecting network performance.",DIGITAL_ASSETS
"nft market sees 50 percent decline in trading volume digital collectibles market downturn.",DIGITAL_ASSETS
"defi protocol hacked for 100 million dollars security breach in decentralized finance.",DIGITAL_ASSETS
"rbi announces new liquidity measures the reserve bank of india has decided to conduct variable rate repo operations and usd/inr swap auctions to inject liquidity into the banking system.",FINANCE_POLICY
"federal reserve signals interest rate pause fed officials indicated they are likely to hold rates steady at the upcoming fomc meeting while monitoring inflation data and labor market conditions.",FINANCE_POLICY
"sebi updates trading rules for mutual funds the securities and exchange board of india has revised guidelines for mutual fund investments, introducing new disclosure requirements and risk management norms.",FINANCE_POLICY
"ecb raises rates by 25 basis points european central bank tightens monetary policy.",FINANCE_POLICY
"new banking regulations announced by rbi reserve bank issues new guidelines for banks.",FINANCE_POLICY
"asia-pacific stocks trade mixed amid geopolitical worries asian markets were mixed monday with japans nikkei 225 declining 1.92 percent as the yen strengthened while chinas csi 300 rose by 0.27 percent.",MARKET_MOVEMENT
"wall street closes higher on strong jobs data us stock markets ended the session with gains as the latest employment report showed robust job creation, easing recession concerns among investors.",MARKET_MOVEMENT
"indian stocks plunge 3 percent on fii selling sensex nifty fall on foreign institutional investor outflows.",MARKET_MOVEMENT
"european markets sink on recession fears stocks selloff across major european indices.",MARKET_MOVEMENT
"dow s and p 500 nasdaq rise amid tech earnings us markets rally on positive corporate results.",MARKET_MOVEMENT
"trump threatens 100 percent tariff on canada in his truth social post, trump suggested that china would try to use canada to avoid paying us tariffs, escalating trade tensions between the nations.",GEO_FINANCIAL
"yen surges on intervention talk the dollar weakened against most major peers, the yen jumped and gold hit a record monday. the discussion on a potential currency pact reignited.",GEO_FINANCIAL
"oil prices jump on middle east tensions energy markets react to geopolitical conflict.",GEO_FINANCIAL
"dollar weakens against major currencies forex update on currency market movements.",GEO_FINANCIAL
"china imposes sanctions on us companies trade conflict escalates between nations.",GEO_FINANCIAL
"us inflation falls to 3 percent in january consumer prices rose at the slowest pace in two years, with the core cpi excluding food and energy coming in below economist expectations.",MACRO_ECONOMIC
"gdp growth slows to 2 percent in q4 economic slowdown as growth moderates.",MACRO_ECONOMIC
"unemployment rate drops to historic low jobs report shows strong labor market.",MACRO_ECONOMIC
"fomc minutes reveal hawkish stance federal open market committee members expressed concern about persistent inflation and signaled willingness to keep rates higher for longer.",MACRO_ECONOMIC
"nse launches new derivatives segment exchange update on new trading products.",MARKET_INFRASTRUCTURE
"treasury bond auction sees strong demand government securities attract investor interest.",MARKET_INFRASTRUCTURE
"nyse announces trading halt procedures exchange rules for market disruptions.",MARKET_INFRASTRUCTURE
"btc falls 5 percent in morning session bitcoin price drops amid broader crypto market weakness, traders eye key support at 82000 level.",DIGITAL_ASSETS
"ethereum gas fees spike to 100 gwei eth network congestion increases as defi activity surges, users face higher transaction costs.",DIGITAL_ASSETS
"cardano ada breaks above 1 dollar resistance level technical analysis suggests bullish momentum for the proof-of-stake blockchain.",DIGITAL_ASSETS
"dogecoin doge rallies 20 percent on elon musk tweet meme coin surges after tesla ceo mentions cryptocurrency on social media.",DIGITAL_ASSETS
"bitcoin btc whale moves 10000 coins to exchange large holder transfer sparks selling pressure concerns among traders.",DIGITAL_ASSETS
"crypto market cap drops below 2 trillion digital assets face broad selloff as risk sentiment deteriorates.",DIGITAL_ASSETS
"polygon matic announces major network upgrade layer 2 scaling solution to improve transaction throughput.",DIGITAL_ASSETS
"avalanche avax defi ecosystem reaches 5 billion tvl decentralized finance growth on the blockchain accelerates.",DIGITAL_ASSETS
"litecoin ltc halving event approaches miners prepare for block reward reduction scheduled for next month.",DIGITAL_ASSETS
"chainlink link integration with major bank oracle network expands into traditional finance sector.",DIGITAL_ASSETS
