text,label
"bitcoin drops below 87000 as bears target 84000 btc price analysis",DIGITAL_ASSETS
"btc falls to 85000 support level bitcoin trading analysis",DIGITAL_ASSETS
"bitcoin price analysis btc tests key resistance at 90000",DIGITAL_ASSETS
"btc price drops 5% overnight bitcoin technical analysis",DIGITAL_ASSETS
"bitcoin breaks above 95000 btc price rally continues",DIGITAL_ASSETS
"btc surges past 100k bitcoin price hits new all-time high",DIGITAL_ASSETS
"bitcoin consolidates near 88000 btc trading range analysis",DIGITAL_ASSETS
"btc whales accumulate during dip bitcoin on-chain analysis",DIGITAL_ASSETS
"bitcoin miners selling pressure increases btc price impact",DIGITAL_ASSETS
"btc funding rates spike bitcoin futures analysis",DIGITAL_ASSETS
"bitcoin dominance rises to 55% btc market cap analysis",DIGITAL_ASSETS
"btc options expiry approaching bitcoin volatility expected",DIGITAL_ASSETS
"bitcoin hash rate hits record btc network analysis",DIGITAL_ASSETS
"btc etf inflows continue bitcoin institutional demand",DIGITAL_ASSETS
"bitcoin price prediction btc could reach 150000",DIGITAL_ASSETS
"btc drops below 80000 bitcoin bear market fears",DIGITAL_ASSETS
"bitcoin weekly close above 90000 btc bullish signal",DIGITAL_ASSETS
"btc liquidations hit 500m bitcoin leverage flush",DIGITAL_ASSETS
"bitcoin spot volume surges btc exchange analysis",DIGITAL_ASSETS
"btc outflows from exchanges bitcoin accumulation trend",DIGITAL_ASSETS
"xrp price liftoff to 10 will take time xrp trading analysis",DIGITAL_ASSETS
"xrp surges 20% on sec case update ripple price analysis",DIGITAL_ASSETS
"ripple xrp breaks above 2 dollar resistance trading analysis",DIGITAL_ASSETS
"xrp price prediction ripple could rally to 5",DIGITAL_ASSETS
"xrp trading volume spikes ripple market analysis",DIGITAL_ASSETS
"ripple xrp partnership announcement price impact analysis",DIGITAL_ASSETS
"xrp outperforms bitcoin ripple relative strength analysis",DIGITAL_ASSETS
"xrp whale accumulation detected ripple on-chain analysis",DIGITAL_ASSETS
"ripple xrp lawsuit update sec case trading analysis",DIGITAL_ASSETS
"xrp price consolidates ripple technical analysis",DIGITAL_ASSETS
"ethereum drops below 3000 eth price analysis",DIGITAL_ASSETS
"eth staking rewards increase ethereum defi news",DIGITAL_ASSETS
"ethereum gas fees spike eth network congestion analysis",DIGITAL_ASSETS
"eth burns 1 million tokens ethereum deflationary analysis",DIGITAL_ASSETS
"ethereum layer 2 growth eth scaling analysis",DIGITAL_ASSETS
"eth price breaks 4000 ethereum bullish momentum",DIGITAL_ASSETS
"ethereum whale moves 100k eth price impact analysis",DIGITAL_ASSETS
"eth futures open interest rises ethereum derivatives analysis",DIGITAL_ASSETS
"ethereum dencun upgrade eth technical analysis",DIGITAL_ASSETS
"eth validator count grows ethereum staking analysis",DIGITAL_ASSETS
"solana price rallies 15% sol trading analysis",DIGITAL_ASSETS
"sol network outage solana technical issues analysis",DIGITAL_ASSETS
"solana defi tvl grows sol ecosystem analysis",DIGITAL_ASSETS
"sol price prediction solana could reach 500",DIGITAL_ASSETS
"solana meme coins surge sol ecosystem trading",DIGITAL_ASSETS
"cardano price drops 8% ada trading analysis",DIGITAL_ASSETS
"ada staking rewards cardano network analysis",DIGITAL_ASSETS
"cardano hydra scaling ada technical analysis",DIGITAL_ASSETS
"dogecoin surges 25% doge meme coin analysis",DIGITAL_ASSETS
"doge price rally dogecoin trading volume spikes",DIGITAL_ASSETS
"shiba inu burns tokens shib price analysis",DIGITAL_ASSETS
"pepe coin crashes 40% meme token analysis",DIGITAL_ASSETS
"crypto market cap falls below 2t bitcoin altcoin analysis",DIGITAL_ASSETS
