text,label
Reduce Persistent Systems target 3700 says Emkay Global on valuation,MARKET_OPINION
Reduce Persistent Systems target Rs 3700 Emkay Global on rich multiples,MARKET_OPINION
Reduce Persistent Systems target 3700 says Emkay citing valuations,MARKET_OPINION
Reduce Persistent target 3700 says Emkay Global Financial Services,MARKET_OPINION
Reduce Persistent Systems target 3500 recommends broker on concerns,MARKET_OPINION
Reduce Coforge target 5500 says analyst on integration challenges,MARKET_OPINION
Reduce LTIMindtree target 5000 says broker on deal pipeline,MARKET_OPINION
Reduce Mphasis target 2200 says analyst on banking weakness,MARKET_OPINION
Reduce Tech Mahindra target 1300 says broker on margin concerns,MARKET_OPINION
Reduce Cyient target 1800 says analyst on aerospace slowdown,MARKET_OPINION
FII outflows continue for fifth session totaling 3500 crores,DESCRIPTIVE
FII outflows extend to sixth consecutive day at 2800 crores,DESCRIPTIVE
FII selling continues with 4000 crore outflows this week,DESCRIPTIVE
Foreign investors sell 3200 crores in cash segment today,DESCRIPTIVE
FIIs remain net sellers with 2500 crore outflows in session,DESCRIPTIVE
Analysts expect earnings growth to moderate in coming quarters,MARKET_OPINION
Traders expect volatility to increase ahead of budget event,MARKET_OPINION
Fund managers expect rate cuts to support equity markets,MARKET_OPINION
Brokerages expect IT sector to see muted growth this year,MARKET_OPINION
Strategists expect defensive sectors to outperform near term,MARKET_OPINION
