"text",label
"Sell Infosys target 1400 says Goldman Sachs on weak deal pipeline visibility",MARKET_OPINION
"Reduce HDFC Bank target 1500 recommends Credit Suisse on NIM compression concerns",MARKET_OPINION
"Sell TCS target 3800 says Morgan Stanley citing margin headwinds ahead",MARKET_OPINION
"Reduce Reliance target 2800 recommends UBS on petrochemical weakness",MARKET_OPINION
"Sell Wipro target 400 says Jefferies on demand environment uncertainty",MARKET_OPINION
"Reduce Axis Bank target 1000 recommends Nomura on asset quality concerns",MARKET_OPINION
"Sell ICICI Bank target 1050 says Barclays citing competitive pressures",MARKET_OPINION
"Reduce Kotak Bank target 1700 recommends Deutsche Bank on growth slowdown",MARKET_OPINION
"Sell SBI target 700 says Macquarie on PSU bank sector headwinds",MARKET_OPINION
"Reduce IndusInd Bank target 1400 recommends CLSA on microfinance stress",MARKET_OPINION
"Sell HCL Tech target 1200 says BofA on client spending cuts",MARKET_OPINION
"Reduce Tech Mahindra target 1300 recommends Citi on deal pipeline weakness",MARKET_OPINION
"Sell LTIMindtree target 5000 says JP Morgan on integration challenges",MARKET_OPINION
"Reduce Persistent Systems target 3700 recommends Emkay on valuation stretch",MARKET_OPINION
"Sell Coforge target 5500 says HSBC citing margin pressure concerns",MARKET_OPINION
"Reduce Mphasis target 2200 recommends Goldman on BFS vertical weakness",MARKET_OPINION
"Sell Cyient target 1800 says Kotak on aerospace segment slowdown",MARKET_OPINION
"Reduce Birlasoft target 700 recommends ICICI Securities on deal delays",MARKET_OPINION
"Sell Zensar target 600 says Motilal Oswal on execution concerns",MARKET_OPINION
"Reduce LTTS target 4500 recommends Axis Capital on auto weakness",MARKET_OPINION
"Sell ITC target 420 says HSBC on cigarette volume concerns ahead",MARKET_OPINION
"Reduce HUL target 2200 recommends SocGen on competitive intensity",MARKET_OPINION
"Sell Nestle target 2300 says BNP Paribas on valuation premium",MARKET_OPINION
"Reduce Dabur target 550 recommends Kotak on rural recovery delay",MARKET_OPINION
"Sell Marico target 580 says Edelweiss on copra inflation impact",MARKET_OPINION
"Reduce Godrej Consumer target 1200 recommends Prabhudas on Africa risks",MARKET_OPINION
"Sell Britannia target 5000 says IDBI Capital on input cost surge",MARKET_OPINION
"Reduce Colgate target 2700 recommends Sharekhan on competitive pressure",MARKET_OPINION
"Sell Emami target 520 says Yes Securities on distribution challenges",MARKET_OPINION
"Reduce United Spirits target 1150 recommends Nirmal Bang on volume slowdown",MARKET_OPINION
"Downgrade Infosys to sell target 1350 says UBS on growth concerns",MARKET_OPINION
"Downgrade TCS to reduce target 3700 recommends Credit Suisse on margins",MARKET_OPINION
"Downgrade Wipro to sell target 380 says Jefferies on demand weakness",MARKET_OPINION
"Downgrade HDFC Bank to hold target 1600 recommends Nomura on NIM",MARKET_OPINION
"Downgrade Reliance to reduce target 2700 says Macquarie on refining",MARKET_OPINION
"Avoid Zomato says Jefferies citing elevated valuation multiples",MARKET_OPINION
"Avoid Paytm says Goldman Sachs on regulatory overhang concerns",MARKET_OPINION
"Avoid Nykaa says Morgan Stanley citing profitability timeline uncertainty",MARKET_OPINION
"Avoid PolicyBazaar says UBS on insurance sector headwinds",MARKET_OPINION
"Avoid CarTrade says CLSA citing competitive intensity in auto tech",MARKET_OPINION
"Analysts bearish on IT sector expect further cuts in guidance ahead",MARKET_OPINION
"Brokerages turn negative on FMCG stocks on rural demand weakness",MARKET_OPINION
"Fund managers reduce exposure to banking stocks on NIM concerns",MARKET_OPINION
"Traders expect more downside in metal stocks on China slowdown",MARKET_OPINION
"Analysts see further weakness in auto stocks on demand uncertainty",MARKET_OPINION
"Strategists recommend underweight on pharma sector near term",MARKET_OPINION
"Brokerages cut targets on realty stocks on interest rate concerns",MARKET_OPINION
"Fund houses reduce allocation to midcap stocks on valuation stretch",MARKET_OPINION
"Analysts expect earnings downgrades in cement sector this quarter",MARKET_OPINION
"Traders positioning for weakness in oil and gas stocks ahead",MARKET_OPINION
"Sensex closes 150 points higher led by banking and IT stocks",DESCRIPTIVE
"Nifty ends 50 points up in quiet trading session on Tuesday",DESCRIPTIVE
"Markets settle marginally higher ahead of RBI policy decision",DESCRIPTIVE
"Sensex gains 200 points as IT stocks lead broad based buying",DESCRIPTIVE
"Nifty closes above 22000 level with banking stocks providing support",DESCRIPTIVE
"Markets end flat in range bound trade amid mixed global cues",DESCRIPTIVE
"Sensex rises 100 points in choppy session with limited participation",DESCRIPTIVE
"Nifty settles at 22500 up 30 points on selective buying",DESCRIPTIVE
"Markets close marginally positive with advance decline ratio at 1.2",DESCRIPTIVE
"Sensex ends 75 points higher as pharma and auto stocks gain",DESCRIPTIVE
"Nifty closes 40 points up with midcap index outperforming benchmark",DESCRIPTIVE
"Markets settle in green for third consecutive session on FII buying",DESCRIPTIVE
"Sensex gains 180 points as metal and power stocks see buying",DESCRIPTIVE
"Nifty ends above 23000 with broad based participation across sectors",DESCRIPTIVE
"Markets close higher by half percent tracking positive Asian cues",DESCRIPTIVE
"Sensex rises 250 points as realty and infra stocks lead gains",DESCRIPTIVE
"Nifty settles 60 points up with banking index contributing most gains",DESCRIPTIVE
"Markets end session up 100 points with IT index adding 1 percent",DESCRIPTIVE
"Sensex closes 120 points higher on last hour buying in financials",DESCRIPTIVE
"Nifty ends marginally positive at 22200 in low volume session",DESCRIPTIVE
"Sensex falls 100 points as profit booking emerges in IT stocks",DESCRIPTIVE
"Nifty ends 50 points lower in cautious trade before Fed decision",DESCRIPTIVE
"Markets close marginally negative with banking stocks under pressure",DESCRIPTIVE
"Sensex drops 150 points as FII outflows weigh on sentiment",DESCRIPTIVE
"Nifty settles 30 points down on mixed global cues overnight",DESCRIPTIVE
"Markets end flat to negative with metal stocks leading losses",DESCRIPTIVE
"Sensex closes 80 points lower as pharma stocks face selling",DESCRIPTIVE
