text,label
"nft market sees 50 percent decline in trading volume digital collectibles market experiences significant downturn as investor interest wanes.",DIGITAL_ASSETS
"nft sales plunge to lowest level in two years opensea blur volumes collapse as speculative interest fades.",DIGITAL_ASSETS
"nft floor prices crash across major collections bored apes cryptopunks see significant value erosion.",DIGITAL_ASSETS
"nft marketplace blur overtakes opensea in trading volume new platform gains market share with zero fee model.",DIGITAL_ASSETS
"nft royalties debate intensifies as platforms cut creator fees digital artists face reduced income from secondary sales.",DIGITAL_ASSETS
"nft gaming sector shows resilience despite market downturn play-to-earn games maintain user engagement.",DIGITAL_ASSETS
"nft art sales reach 100 million at christies auction house traditional art world embraces digital collectibles.",DIGITAL_ASSETS
"nft ticketing gains traction for live events blockchain-based tickets reduce fraud and enable resale tracking.",DIGITAL_ASSETS
"nft fashion collaboration between gucci and yuga labs luxury brands explore digital collectibles market.",DIGITAL_ASSETS
"nft music royalties platform raises 50 million artists tokenize future earnings for upfront capital.",DIGITAL_ASSETS
"nft lending protocol enables collateralized loans holders can borrow against digital collectibles without selling.",DIGITAL_ASSETS
"nft fractionalization allows shared ownership of expensive art investors buy pieces of high-value collectibles.",DIGITAL_ASSETS
"nft wash trading concerns rise as volumes spike artificial activity inflates marketplace metrics.",DIGITAL_ASSETS
"nft real estate tokenization gains regulatory clarity property ownership on blockchain moves forward.",DIGITAL_ASSETS
"nft sports memorabilia market grows with nba top shot basketball highlights drive collector interest.",DIGITAL_ASSETS
"nft carbon credits emerge as climate solution environmental assets tokenized for transparent trading.",DIGITAL_ASSETS
"nft identity verification use cases expand beyond collectibles digital identity on blockchain gains adoption.",DIGITAL_ASSETS
"nft marketplace fees comparison shows wide variation platforms compete on transaction costs.",DIGITAL_ASSETS
"nft mint prices drop as demand cools new collection launches struggle to sell out.",DIGITAL_ASSETS
"nft community governance tokens gain utility holders vote on collection roadmap decisions.",DIGITAL_ASSETS
"rbi announces new liquidity measures the reserve bank of india has decided to conduct variable rate repo operations and usd/inr swap auctions.",FINANCE_POLICY
"rbi keeps repo rate unchanged at 6.5 percent monetary policy committee votes to maintain status quo on interest rates.",FINANCE_POLICY
"rbi governor das warns of inflation risks central bank chief emphasizes vigilance on price stability.",FINANCE_POLICY
"rbi imposes penalty on hdfc bank for regulatory violations central bank takes action on compliance failures.",FINANCE_POLICY
"rbi releases guidelines on digital lending apps new rules mandate transparency in loan terms and fees.",FINANCE_POLICY
"rbi extends deadline for card tokenization central bank gives more time for compliance with data security norms.",FINANCE_POLICY
"rbi announces open market operations to manage liquidity central bank to buy government securities worth 25000 crore.",FINANCE_POLICY
"rbi tightens norms for nbfc lending non-banking financial companies face stricter capital requirements.",FINANCE_POLICY
"rbi allows higher fdi in insurance sector foreign investment limit raised to 74 percent.",FINANCE_POLICY
"rbi launches digital rupee pilot cbdc testing begins in select cities with participating banks.",FINANCE_POLICY
"rbi deputy governor speech highlights fintech regulation central bank official outlines supervisory approach.",FINANCE_POLICY
"rbi cancels license of cooperative bank regulatory action on weak financial position.",FINANCE_POLICY
"rbi mpc minutes show divided opinion on rates committee members debate inflation trajectory.",FINANCE_POLICY
"rbi circular on priority sector lending new guidelines for agricultural credit targets.",FINANCE_POLICY
"rbi allows banks to set their own lending rates freedom in pricing boosts competition.",FINANCE_POLICY
"rbi warns banks on exposure to adani group central bank reviews credit risk concentration.",FINANCE_POLICY
"rbi increases withdrawal limit for pmjdy accounts financial inclusion measures expanded.",FINANCE_POLICY
"rbi releases financial stability report banking system health assessment shows resilience.",FINANCE_POLICY
"rbi governor meets bank ceos to discuss credit growth central bank pushes for increased lending.",FINANCE_POLICY
"rbi introduces positive pay system for cheques fraud prevention measure for high-value instruments.",FINANCE_POLICY
"rbi revises risk weights for consumer loans central bank tightens norms for unsecured lending.",FINANCE_POLICY
"rbi allows offshore rupee settlement international trade in indian currency facilitated.",FINANCE_POLICY
"rbi extends co-lending guidelines to nbfcs partnership model for priority sector expanded.",FINANCE_POLICY
"rbi bulletin analyzes inflation dynamics economic research highlights supply-side factors.",FINANCE_POLICY
"rbi deputy governor patra on monetary transmission rate changes passing through to borrowers.",FINANCE_POLICY
"federal reserve signals interest rate pause fed officials indicated they are likely to hold rates steady.",FINANCE_POLICY
"federal reserve chair powell testifies before congress fed chief discusses inflation and employment outlook.",FINANCE_POLICY
"federal reserve raises rates by 25 basis points fed continues tightening cycle to combat inflation.",FINANCE_POLICY
"federal reserve balance sheet reduction continues quantitative tightening proceeds at planned pace.",FINANCE_POLICY
"federal reserve officials split on rate path fed governors express varying views on policy.",FINANCE_POLICY
"federal reserve stresses inflation fight not over powell emphasizes commitment to 2 percent target.",FINANCE_POLICY
"federal reserve announces emergency lending facility banking sector support measures activated.",FINANCE_POLICY
"federal reserve vice chair speaks on financial stability second-in-command addresses systemic risks.",FINANCE_POLICY
"federal reserve regional bank presidents share economic outlook decentralized views on us economy.",FINANCE_POLICY
"federal reserve stress test results show banks well capitalized annual assessment positive for large lenders.",FINANCE_POLICY
"federal reserve updates guidance on bank supervision regulatory approach modernized.",FINANCE_POLICY
"federal reserve governor waller argues for more rate hikes hawkish official pushes for tighter policy.",FINANCE_POLICY
"federal reserve considers standing repo facility permanent liquidity backstop under discussion.",FINANCE_POLICY
"federal reserve releases beige book economic survey regional economic conditions mixed across districts.",FINANCE_POLICY
"federal reserve chair powell speaks at jackson hole annual symposium draws global central banker attention.",FINANCE_POLICY
"federal reserve dots signal higher rates for longer median projection shows elevated rates through 2024.",FINANCE_POLICY
"federal reserve new york president williams on neutral rate equilibrium interest rate debate continues.",FINANCE_POLICY
"federal reserve san francisco president daly on labor market employment conditions assessment.",FINANCE_POLICY
"federal reserve chicago president goolsbee shares inflation outlook midwestern economic perspective.",FINANCE_POLICY
"federal reserve atlanta president bostic on economic resilience southeastern region analysis.",FINANCE_POLICY
"fed funds rate target maintained at current level no change in benchmark interest rate.",FINANCE_POLICY
"fed officials debate soft landing prospects central bankers assess recession probability.",FINANCE_POLICY
"fed policy pivot expectations grow markets price in rate cuts for next year.",FINANCE_POLICY
"fed liquidity injection supports money markets overnight funding pressures ease.",FINANCE_POLICY
