"text",label
"Brokerages turn negative on FMCG stocks on rural demand weakness",MARKET_OPINION
"Brokerages turn negative on IT sector on deal pipeline concerns",MARKET_OPINION
"Brokerages turn negative on banking stocks on NIM pressure",MARKET_OPINION
"Brokerages turn negative on auto stocks on demand slowdown",MARKET_OPINION
"Brokerages turn negative on pharma stocks on pricing pressure",MARKET_OPINION
"Brokerages turn cautious on metal stocks on China concerns",MARKET_OPINION
"Brokerages turn bearish on realty stocks on rate concerns",MARKET_OPINION
"Brokerages turn pessimistic on cement stocks on demand weakness",MARKET_OPINION
"Traders expect more downside in metal stocks on China slowdown",MARKET_OPINION
"Traders expect more downside in IT stocks on demand weakness",MARKET_OPINION
"Traders expect more downside in banking stocks on NIM compression",MARKET_OPINION
"Traders expect more downside in auto stocks on volume concerns",MARKET_OPINION
"Traders expect more weakness in pharma stocks on FDA issues",MARKET_OPINION
"Traders expect further decline in FMCG stocks on rural stress",MARKET_OPINION
"Traders expect continued selling in realty stocks on rates",MARKET_OPINION
"Traders expect correction in cement stocks on demand issues",MARKET_OPINION
"Analysts expect Nifty to reach 25000 by year end on earnings growth",MARKET_OPINION
"Analysts expect Sensex to hit 80000 by December on FII flows",MARKET_OPINION
"Analysts expect Nifty to touch 24000 in coming months",MARKET_OPINION
"Analysts expect Sensex to cross 75000 on budget optimism",MARKET_OPINION
"Analysts expect Bank Nifty to reach 50000 on credit growth",MARKET_OPINION
"Analysts expect IT index to hit 40000 on deal wins",MARKET_OPINION
"Analysts expect gold to reach 70000 rupees on safe haven demand",MARKET_OPINION
"Analysts expect silver to touch 90000 rupees by year end",MARKET_OPINION
"Traders betting on Bitcoin reaching 100000 dollars by December",MARKET_OPINION
"Traders betting on Ethereum crossing 5000 dollars this year",MARKET_OPINION
"Traders betting on gold hitting 2800 dollars on Fed cuts",MARKET_OPINION
"Traders betting on oil reaching 100 dollars on supply cuts",MARKET_OPINION
"Traders betting on Nifty crossing 23000 before budget",MARKET_OPINION
